name,dept,area,count,adjustedcount,year,country
A. B. Siddique 0001,University of Kentucky,Databases,1.0,0.33333,2019,us
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.16667,2016,us
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.33333,1993,us
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.33333,1993,us
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.5,1996,us
A. Jefferson Offutt,George Mason University,Programming languages,1.0,0.5,1987,us
A. P. Wim Böhm,Colorado State University,High-performance computing,1.0,0.5,1987,us
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.33333,1992,us
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.33333,1991,us
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.25,1993,us
A. Prasad Sistla,University of Illinois at Chicago,Databases,2.0,0.58333,1997,us
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.25,1998,us
A. Prasad Sistla,University of Illinois at Chicago,Programming languages,1.0,0.33333,1983,us
A. Prasad Sistla,University of Illinois at Chicago,Programming languages,1.0,0.2,2021,us
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.33333,1994,us
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.5,1995,us
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.33333,1994,us
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.25,1995,us
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.2,2009,us
A. Robert Calderbank,Duke University,Computer architecture,1.0,0.33333,2013,us
A. Selcuk Uluagac,Florida International University,Computer security,1.0,0.2,2021,us
A. Selcuk Uluagac,Florida International University,Computer security,2.0,0.58333,2022,us
A. T. Chamillard,UCCS,Software engineering,1.0,0.5,1996,us
A. Udaya Shankar,University of Maryland - College Park,Mobile computing,1.0,0.2,2006,us
A. Udaya Shankar,University of Maryland - College Park,Embedded & real-time systems,1.0,1.0,1992,us
A. Udaya Shankar,University of Maryland - College Park,Computer networks,1.0,0.5,1983,us
A. Udaya Shankar,University of Maryland - College Park,Computer networks,1.0,0.5,1988,us
A. Udaya Shankar,University of Maryland - College Park,Measurement & perf. analysis,1.0,0.25,1992,us
A. Udaya Shankar,University of Maryland - College Park,Measurement & perf. analysis,1.0,0.5,1995,us
Aanjhan Ranganathan,Northeastern University,Mobile computing,3.0,0.7,2016,us
Aanjhan Ranganathan,Northeastern University,Computer security,2.0,0.5,2022,us
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.25,2013,us
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.33333,2019,us
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.14286,2023,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2019,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2021,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2022,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2023,us
Aaron J. Elmore,University of Chicago,Computer architecture,1.0,0.25,2017,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2011,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2013,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2015,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.33333,2018,us
Aaron J. Elmore,University of Chicago,Databases,3.0,0.65,2020,us
Aaron J. Elmore,University of Chicago,Databases,2.0,0.36667,2021,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2012,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.125,2014,us
Aaron J. Elmore,University of Chicago,Databases,2.0,0.33333,2016,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2017,us
Aaron J. Elmore,University of Chicago,Databases,2.0,0.36667,2019,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2020,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2021,us
Aaron J. Elmore,University of Chicago,Databases,2.0,0.26667,2022,us
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2023,us
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.25,2017,us
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.2,2019,us
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.2,2020,us
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.16667,2015,us
Aaron Schulman,Univ. of California - San Diego,Computer architecture,1.0,0.2,2023,us
Aaron Schulman,Univ. of California - San Diego,Computer security,1.0,0.33333,2014,us
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.5,2011,us
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.14286,2014,us
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,2.0,0.36111,2015,us
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.11111,2019,us
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.14286,2020,us
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,3.0,0.48571,2021,us
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.14286,2022,us
Aaron Schulman,Univ. of California - San Diego,Mobile computing,1.0,0.125,2010,us
Aaron Schulman,Univ. of California - San Diego,Mobile computing,1.0,0.14286,2019,us
Aaron Schulman,Univ. of California - San Diego,Mobile computing,1.0,0.14286,2019,us
Aaron Schulman,Univ. of California - San Diego,Computer networks,1.0,0.11111,2010,us
Aaron Schulman,Univ. of California - San Diego,Computer networks,1.0,0.33333,2015,us
Aaron Schulman,Univ. of California - San Diego,Computer networks,1.0,0.2,2019,us
Aaron Schulman,Univ. of California - San Diego,Computer security,1.0,0.14286,2022,us
Aaron Schulman,Univ. of California - San Diego,Computer networks,1.0,0.25,2019,us
Aaron Striegel,University of Notre Dame,High-performance computing,1.0,0.2,2005,us
Aaron Striegel,University of Notre Dame,Measurement & perf. analysis,1.0,0.25,2015,us
Aaron Striegel,University of Notre Dame,Mobile computing,1.0,0.5,2013,us
Aaron Striegel,University of Notre Dame,High-performance computing,1.0,0.16667,2005,us
Aaron Stump,University of Iowa,Programming languages,1.0,0.33333,2005,us
Aaron Stump,University of Iowa,Programming languages,1.0,0.33333,2018,us
Aaron Stump,University of Iowa,Programming languages,1.0,0.25,2020,us
Aaron Stump,University of Iowa,Programming languages,1.0,0.16667,2023,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.125,2011,us
Aarti Gupta,Princeton University,Computer architecture,1.0,0.125,2023,us
Aarti Gupta,Princeton University,Design automation,1.0,0.33333,1997,us
Aarti Gupta,Princeton University,Design automation,1.0,0.25,2001,us
Aarti Gupta,Princeton University,Design automation,1.0,0.2,2003,us
Aarti Gupta,Princeton University,Design automation,1.0,0.33333,2005,us
Aarti Gupta,Princeton University,Design automation,1.0,0.33333,2006,us
Aarti Gupta,Princeton University,Design automation,1.0,0.5,2008,us
Aarti Gupta,Princeton University,Design automation,1.0,0.2,2018,us
Aarti Gupta,Princeton University,Embedded & real-time systems,1.0,0.25,2009,us
Aarti Gupta,Princeton University,Operating systems,1.0,0.076923,2019,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.25,2008,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.25,2009,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.33333,2012,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.2,2015,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.33333,2016,us
Aarti Gupta,Princeton University,Design automation,1.0,0.5,1993,us
Aarti Gupta,Princeton University,Design automation,1.0,0.33333,1996,us
Aarti Gupta,Princeton University,Design automation,1.0,0.2,2001,us
Aarti Gupta,Princeton University,Design automation,1.0,0.25,2003,us
Aarti Gupta,Princeton University,Design automation,1.0,0.33333,2004,us
Aarti Gupta,Princeton University,Design automation,1.0,0.5,2006,us
Aarti Gupta,Princeton University,Design automation,1.0,0.33333,2007,us
Aarti Gupta,Princeton University,Design automation,1.0,0.25,2018,us
Aarti Gupta,Princeton University,Design automation,1.0,0.2,2021,us
Aarti Gupta,Princeton University,Design automation,2.0,0.58333,2022,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.33333,2008,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.33333,2011,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.2,2013,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.25,2008,us
Aarti Gupta,Princeton University,Software engineering,1.0,0.16667,2014,us
Aarti Gupta,Princeton University,Computer architecture,1.0,0.25,2018,us
Aarti Gupta,Princeton University,Computer networks,1.0,0.5,2022,us
Aarti Gupta,Princeton University,Programming languages,3.0,0.91667,2023,us
Aarti Gupta,Princeton University,Programming languages,1.0,0.5,2007,us
Aarti Gupta,Princeton University,Programming languages,1.0,0.25,2010,us
Aarti Gupta,Princeton University,Programming languages,1.0,0.25,2020,us
Aarti Gupta,Princeton University,Embedded & real-time systems,1.0,0.25,2009,us
Aarti Gupta,Princeton University,Computer networks,1.0,0.25,2017,us
Aarti Gupta,Princeton University,Computer networks,1.0,0.25,2018,us
Aarti Gupta,Princeton University,Computer networks,1.0,0.11111,2020,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,2.0,0.53333,2016,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.2,2019,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.16667,2020,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.14286,2021,us
Aasheesh Kolli,Pennsylvania State University,Operating systems,1.0,0.14286,2019,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.25,2018,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.14286,2017,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.2,2019,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.11111,2023,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.33333,2013,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,2.0,0.325,2016,us
Aasheesh Kolli,Pennsylvania State University,Computer architecture,1.0,0.33333,2020,us
Aasheesh Kolli,Pennsylvania State University,Operating systems,1.0,0.16667,2019,us
Aasheesh Kolli,Pennsylvania State University,Operating systems,1.0,0.14286,2021,us
Aastha Mehta,University of British Columbia,Operating systems,1.0,0.125,2015,canada
Abdelhakim Hafid,University of Montreal,High-performance computing,1.0,0.33333,1996,canada
Abdelsalam Helal,University of Florida,Databases,1.0,0.5,1988,us
Abdelsalam Helal,University of Florida,Databases,1.0,0.33333,1989,us
Abdelsalam Helal,University of Florida,Databases,1.0,0.0625,1997,us
Abdou Youssef,George Washington University,Computer architecture,1.0,0.5,1990,us
Abdul Serwadda,Texas Tech University,Computer security,1.0,0.5,2013,us
Abdul Serwadda,Texas Tech University,Computer security,1.0,0.25,2014,us
Abdullah Al-Mamun 0001,Augusta University,Databases,1.0,0.33333,2021,us
Abdullah Al-Mamun 0001,Augusta University,High-performance computing,1.0,0.33333,2021,us
Abdullah Muzahid,Texas A&M University,Operating systems,1.0,0.25,2017,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.2,2012,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.25,2014,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.14286,2023,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.25,2009,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.33333,2013,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.5,2016,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.16667,2021,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.33333,2010,us
Abdullah Muzahid,Texas A&M University,Computer architecture,1.0,0.33333,2012,us
Abdullah Uz Tansel,CUNY,Databases,1.0,1.0,1987,us
Abdullah Uz Tansel,CUNY,Databases,1.0,0.5,1985,us
Abdullah Uz Tansel,CUNY,Databases,1.0,0.5,1989,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.5,2013,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.2,2014,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.5,2015,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.33333,2016,us
Abhi Shelat,Northeastern University,Computer security,2.0,0.64286,2017,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.33333,2018,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.33333,2019,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.25,2014,us
Abhi Shelat,Northeastern University,Computer security,1.0,0.2,2016,us
Abhi Shelat,Northeastern University,Computer security,2.0,0.45,2018,us
Abhi Shelat,Northeastern University,Computer security,2.0,0.45,2019,us
