name,dept,area,count,adjustedcount,year,country,latitude,longitude
A. B. Siddique 0001,University of Kentucky,Databases,1.0,0.33333,2019,us,38.027038,-84.5048374
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.16667,2016,us,38.8313333,-77.3079884
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.33333,1993,us,38.8313333,-77.3079884
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.33333,1993,us,38.8313333,-77.3079884
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.5,1996,us,38.8313333,-77.3079884
A. Jefferson Offutt,George Mason University,Programming languages,1.0,0.5,1987,us,38.8313333,-77.3079884
A. P. Wim Böhm,Colorado State University,High-performance computing,1.0,0.5,1987,us,40.5706567,-105.0853995
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.33333,1992,us,40.5706567,-105.0853995
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.33333,1991,us,40.5706567,-105.0853995
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.25,1993,us,40.5706567,-105.0853995
A. Prasad Sistla,University of Illinois at Chicago,Databases,2.0,0.58333,1997,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.25,1998,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Programming languages,1.0,0.33333,1983,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Programming languages,1.0,0.2,2021,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.33333,1994,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.5,1995,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.33333,1994,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.25,1995,us,41.8689223,-87.6485848
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.2,2009,us,41.8689223,-87.6485848
A. Robert Calderbank,Duke University,Computer architecture,1.0,0.33333,2013,us,36.0001557,-78.9442297
A. Selcuk Uluagac,Florida International University,Computer security,1.0,0.2,2021,us,25.7553898,-80.3762833
A. Selcuk Uluagac,Florida International University,Computer security,2.0,0.58333,2022,us,25.7553898,-80.3762833
A. T. Chamillard,UCCS,Software engineering,1.0,0.5,1996,us,38.8924932,-104.7996978
A. Udaya Shankar,University of Maryland - College Park,Mobile computing,1.0,0.2,2006,us,38.990547,-76.937251
A. Udaya Shankar,University of Maryland - College Park,Embedded & real-time systems,1.0,1.0,1992,us,38.990547,-76.937251
A. Udaya Shankar,University of Maryland - College Park,Computer networks,1.0,0.5,1983,us,38.990547,-76.937251
A. Udaya Shankar,University of Maryland - College Park,Computer networks,1.0,0.5,1988,us,38.990547,-76.937251
A. Udaya Shankar,University of Maryland - College Park,Measurement & perf. analysis,1.0,0.25,1992,us,38.990547,-76.937251
A. Udaya Shankar,University of Maryland - College Park,Measurement & perf. analysis,1.0,0.5,1995,us,38.990547,-76.937251
Aanjhan Ranganathan,Northeastern University,Mobile computing,3.0,0.7,2016,us,42.3390301,-71.0879129
Aanjhan Ranganathan,Northeastern University,Computer security,2.0,0.5,2022,us,42.3390301,-71.0879129
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.25,2013,us,42.3390301,-71.0879129
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.33333,2019,us,42.3390301,-71.0879129
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.14286,2023,us,42.3390301,-71.0879129
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2019,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2021,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2022,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2023,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Computer architecture,1.0,0.25,2017,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2011,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2013,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2015,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,1.0,0.33333,2018,us,41.7913968,-87.6008439
Aaron J. Elmore,University of Chicago,Databases,3.0,0.65,2020,us,41.7913968,-87.6008439
