name,dept,area,count,adjustedcount,year
A. B. Siddique 0001,University of Kentucky,Databases,1.0,0.33333,2019
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.16667,2016
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.33333,1993
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.33333,1993
A. Jefferson Offutt,George Mason University,Software engineering,1.0,0.5,1996
A. Jefferson Offutt,George Mason University,Programming languages,1.0,0.5,1987
A. P. Wim Böhm,Colorado State University,High-performance computing,1.0,0.5,1987
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.33333,1992
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.33333,1991
A. P. Wim Böhm,Colorado State University,Computer architecture,1.0,0.25,1993
A. Prasad Sistla,University of Illinois at Chicago,Databases,2.0,0.58333,1997
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.25,1998
A. Prasad Sistla,University of Illinois at Chicago,Programming languages,1.0,0.33333,1983
A. Prasad Sistla,University of Illinois at Chicago,Programming languages,1.0,0.2,2021
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.33333,1994
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.5,1995
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.33333,1994
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.25,1995
A. Prasad Sistla,University of Illinois at Chicago,Databases,1.0,0.2,2009
A. Robert Calderbank,Duke University,Computer architecture,1.0,0.33333,2013
A. Selcuk Uluagac,Florida International University,Computer security,1.0,0.2,2021
A. Selcuk Uluagac,Florida International University,Computer security,2.0,0.58333,2022
A. T. Chamillard,UCCS,Software engineering,1.0,0.5,1996
A. Udaya Shankar,University of Maryland - College Park,Mobile computing,1.0,0.2,2006
A. Udaya Shankar,University of Maryland - College Park,Embedded & real-time systems,1.0,1.0,1992
A. Udaya Shankar,University of Maryland - College Park,Computer networks,1.0,0.5,1983
A. Udaya Shankar,University of Maryland - College Park,Computer networks,1.0,0.5,1988
A. Udaya Shankar,University of Maryland - College Park,Measurement & perf. analysis,1.0,0.25,1992
A. Udaya Shankar,University of Maryland - College Park,Measurement & perf. analysis,1.0,0.5,1995
Aanjhan Ranganathan,Northeastern University,Mobile computing,3.0,0.7,2016
Aanjhan Ranganathan,Northeastern University,Computer security,2.0,0.5,2022
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.25,2013
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.33333,2019
Aanjhan Ranganathan,Northeastern University,Computer security,1.0,0.14286,2023
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2019
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2021
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2022
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2023
Aaron J. Elmore,University of Chicago,Computer architecture,1.0,0.25,2017
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2011
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2013
Aaron J. Elmore,University of Chicago,Databases,1.0,0.16667,2015
Aaron J. Elmore,University of Chicago,Databases,1.0,0.33333,2018
Aaron J. Elmore,University of Chicago,Databases,3.0,0.65,2020
Aaron J. Elmore,University of Chicago,Databases,2.0,0.36667,2021
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2012
Aaron J. Elmore,University of Chicago,Databases,1.0,0.125,2014
Aaron J. Elmore,University of Chicago,Databases,2.0,0.33333,2016
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2017
Aaron J. Elmore,University of Chicago,Databases,2.0,0.36667,2019
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2020
Aaron J. Elmore,University of Chicago,Databases,1.0,0.25,2021
Aaron J. Elmore,University of Chicago,Databases,2.0,0.26667,2022
Aaron J. Elmore,University of Chicago,Databases,1.0,0.2,2023
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.25,2017
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.2,2019
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.2,2020
Aaron Roth 0001,University of Pennsylvania,Programming languages,1.0,0.16667,2015
Aaron Schulman,Univ. of California - San Diego,Computer architecture,1.0,0.2,2023
Aaron Schulman,Univ. of California - San Diego,Computer security,1.0,0.33333,2014
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.5,2011
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.14286,2014
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,2.0,0.36111,2015
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.11111,2019
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.14286,2020
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,3.0,0.48571,2021
Aaron Schulman,Univ. of California - San Diego,Measurement & perf. analysis,1.0,0.14286,2022
