name,dept,area,count,adjustedcount,year
A. B. Siddique 0001,University of Kentucky,vldb,1.0,0.33333,2019
A. Jefferson Offutt,George Mason University,fse,1.0,0.16667,2016
A. Jefferson Offutt,George Mason University,icse,1.0,0.33333,1993
A. Jefferson Offutt,George Mason University,issta,1.0,0.33333,1993
A. Jefferson Offutt,George Mason University,issta,1.0,0.5,1996
A. Jefferson Offutt,George Mason University,pldi,1.0,0.5,1987
A. P. Wim Böhm,Colorado State University,ics,1.0,0.5,1987
A. P. Wim Böhm,Colorado State University,isca,1.0,0.33333,1992
A. P. Wim Böhm,Colorado State University,micro,1.0,0.33333,1991
A. P. Wim Böhm,Colorado State University,micro,1.0,0.25,1993
A. Prasad Sistla,University of Illinois at Chicago,icde,2.0,0.58333,1997
A. Prasad Sistla,University of Illinois at Chicago,icde,1.0,0.25,1998
A. Prasad Sistla,University of Illinois at Chicago,popl,1.0,0.33333,1983
A. Prasad Sistla,University of Illinois at Chicago,popl,1.0,0.2,2021
A. Prasad Sistla,University of Illinois at Chicago,sigmod,1.0,0.33333,1994
A. Prasad Sistla,University of Illinois at Chicago,sigmod,1.0,0.5,1995
A. Prasad Sistla,University of Illinois at Chicago,vldb,1.0,0.33333,1994
A. Prasad Sistla,University of Illinois at Chicago,vldb,1.0,0.25,1995
A. Prasad Sistla,University of Illinois at Chicago,vldb,1.0,0.2,2009
A. Robert Calderbank,Duke University,hpca,1.0,0.33333,2013
A. Selcuk Uluagac,Florida International University,ndss,1.0,0.2,2021
A. Selcuk Uluagac,Florida International University,ndss,2.0,0.58333,2022
A. T. Chamillard,UCCS,issta,1.0,0.5,1996
A. Udaya Shankar,University of Maryland - College Park,mobisys,1.0,0.2,2006
A. Udaya Shankar,University of Maryland - College Park,rtss,1.0,1.0,1992
A. Udaya Shankar,University of Maryland - College Park,sigcomm,1.0,0.5,1983
A. Udaya Shankar,University of Maryland - College Park,sigcomm,1.0,0.5,1988
A. Udaya Shankar,University of Maryland - College Park,sigmetrics,1.0,0.25,1992
A. Udaya Shankar,University of Maryland - College Park,sigmetrics,1.0,0.5,1995
Aanjhan Ranganathan,Northeastern University,mobicom,3.0,0.7,2016
Aanjhan Ranganathan,Northeastern University,ndss,2.0,0.5,2022
Aanjhan Ranganathan,Northeastern University,oakland,1.0,0.25,2013
Aanjhan Ranganathan,Northeastern University,oakland,1.0,0.33333,2019
Aanjhan Ranganathan,Northeastern University,oakland,1.0,0.14286,2023
Aaron J. Elmore,University of Chicago,icde,1.0,0.16667,2019
Aaron J. Elmore,University of Chicago,icde,1.0,0.2,2021
Aaron J. Elmore,University of Chicago,icde,1.0,0.2,2022
Aaron J. Elmore,University of Chicago,icde,1.0,0.25,2023
Aaron J. Elmore,University of Chicago,micro,1.0,0.25,2017
Aaron J. Elmore,University of Chicago,sigmod,1.0,0.25,2011
Aaron J. Elmore,University of Chicago,sigmod,1.0,0.16667,2013
Aaron J. Elmore,University of Chicago,sigmod,1.0,0.16667,2015
Aaron J. Elmore,University of Chicago,sigmod,1.0,0.33333,2018
Aaron J. Elmore,University of Chicago,sigmod,3.0,0.65,2020
Aaron J. Elmore,University of Chicago,sigmod,2.0,0.36667,2021
Aaron J. Elmore,University of Chicago,vldb,1.0,0.2,2012
Aaron J. Elmore,University of Chicago,vldb,1.0,0.125,2014
Aaron J. Elmore,University of Chicago,vldb,2.0,0.33333,2016
Aaron J. Elmore,University of Chicago,vldb,1.0,0.2,2017
Aaron J. Elmore,University of Chicago,vldb,2.0,0.36667,2019
Aaron J. Elmore,University of Chicago,vldb,1.0,0.2,2020
Aaron J. Elmore,University of Chicago,vldb,1.0,0.25,2021
Aaron J. Elmore,University of Chicago,vldb,2.0,0.26667,2022
Aaron J. Elmore,University of Chicago,vldb,1.0,0.2,2023
Aaron Roth 0001,University of Pennsylvania,icfp,1.0,0.25,2017
Aaron Roth 0001,University of Pennsylvania,icfp,1.0,0.2,2019
Aaron Roth 0001,University of Pennsylvania,oopsla,1.0,0.2,2020
Aaron Roth 0001,University of Pennsylvania,popl,1.0,0.16667,2015
Aaron Schulman,Univ. of California - San Diego,asplos,1.0,0.2,2023
Aaron Schulman,Univ. of California - San Diego,ccs,1.0,0.33333,2014
Aaron Schulman,Univ. of California - San Diego,imc,1.0,0.5,2011
Aaron Schulman,Univ. of California - San Diego,imc,1.0,0.14286,2014
Aaron Schulman,Univ. of California - San Diego,imc,2.0,0.36111,2015
Aaron Schulman,Univ. of California - San Diego,imc,1.0,0.11111,2019
Aaron Schulman,Univ. of California - San Diego,imc,1.0,0.14286,2020
Aaron Schulman,Univ. of California - San Diego,imc,3.0,0.48571,2021
Aaron Schulman,Univ. of California - San Diego,imc,1.0,0.14286,2022
Aaron Schulman,Univ. of California - San Diego,mobicom,1.0,0.125,2010
Aaron Schulman,Univ. of California - San Diego,mobicom,1.0,0.14286,2019
Aaron Schulman,Univ. of California - San Diego,mobisys,1.0,0.14286,2019
Aaron Schulman,Univ. of California - San Diego,nsdi,1.0,0.11111,2010
Aaron Schulman,Univ. of California - San Diego,nsdi,1.0,0.33333,2015
Aaron Schulman,Univ. of California - San Diego,nsdi,1.0,0.2,2019
Aaron Schulman,Univ. of California - San Diego,oakland,1.0,0.14286,2022
Aaron Schulman,Univ. of California - San Diego,sigcomm,1.0,0.25,2019
Aaron Striegel,University of Notre Dame,hpdc,1.0,0.2,2005
Aaron Striegel,University of Notre Dame,imc,1.0,0.25,2015
Aaron Striegel,University of Notre Dame,mobicom,1.0,0.5,2013
Aaron Striegel,University of Notre Dame,sc,1.0,0.16667,2005
Aaron Stump,University of Iowa,icfp,1.0,0.33333,2005
Aaron Stump,University of Iowa,icfp,1.0,0.33333,2018
Aaron Stump,University of Iowa,icfp,1.0,0.25,2020
Aaron Stump,University of Iowa,popl,1.0,0.16667,2023
Aarti Gupta,Princeton University,ase,1.0,0.125,2011
Aarti Gupta,Princeton University,asplos,1.0,0.125,2023
Aarti Gupta,Princeton University,dac,1.0,0.33333,1997
Aarti Gupta,Princeton University,dac,1.0,0.25,2001
Aarti Gupta,Princeton University,dac,1.0,0.2,2003
Aarti Gupta,Princeton University,dac,1.0,0.33333,2005
Aarti Gupta,Princeton University,dac,1.0,0.33333,2006
Aarti Gupta,Princeton University,dac,1.0,0.5,2008
Aarti Gupta,Princeton University,dac,1.0,0.2,2018
Aarti Gupta,Princeton University,emsoft,1.0,0.25,2009
Aarti Gupta,Princeton University,eurosys,1.0,0.076923,2019
Aarti Gupta,Princeton University,fse,1.0,0.25,2008
Aarti Gupta,Princeton University,fse,1.0,0.25,2009
